wlan.fc.subtype,wlan.fc.ds,radiotap.datarate,wlan.fc.protected,frame.len,wlan.duration,radiotap.channel.type.ofdm,radiotap.channel.type.cck,radiotap.mactime,wlan_mgt.fixed.beacon,class
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.224425287356323,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2242816091954023,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2242816091954023,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.2242816091954023,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2242816091954023,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2242816091954023,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.224137931034482,0.0,0
1.0,-1.0,2.3043598488339945,0.0,1.1818118596133342,-0.012736088663126302,1.0,-1.0,-1.224137931034482,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.224137931034482,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.224137931034482,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.224137931034482,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.224137931034482,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.224137931034482,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2239942528735617,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2239942528735617,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2239942528735617,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.2239942528735617,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2239942528735617,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2239942528735617,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2238505747126442,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2238505747126442,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2238505747126442,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.2238505747126442,0.0,0
1.0,-1.0,2.3043598488339945,0.0,1.0605962260651864,-0.012736088663126302,1.0,-1.0,-1.2238505747126442,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2238505747126442,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.2238505747126442,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.2238505747126442,0.0,0
1.0,-1.0,2.3043598488339945,0.0,0.8787843664518522,-0.012736088663126302,1.0,-1.0,-1.2238505747126442,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2237068965517253,0.0,0
1.0,-1.0,2.3043598488339945,0.0,0.8787843664518522,-0.012736088663126302,1.0,-1.0,-1.2237068965517253,0.0,0
1.0,-1.0,2.3043598488339945,0.0,0.8787843664518522,-0.012736088663126302,1.0,-1.0,-1.2237068965517253,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2237068965517253,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2237068965517253,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2237068965517253,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.223563218390805,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.223563218390805,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.223563218390805,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.223563218390805,0.0,0
1.0,-1.0,2.3043598488339945,0.0,0.8787843664518522,-0.012736088663126302,1.0,-1.0,-1.223563218390805,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.223563218390805,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.223563218390805,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.223563218390805,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.223563218390805,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.223563218390805,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.223563218390805,0.0,0
1.0,-2.0,0.0,-1.0,2.95440215123557,-0.15286538905564534,0.0,0.0,-1.223563218390805,1.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2234195402298844,0.0,0
1.0,-1.0,2.3043598488339945,0.0,0.8787843664518522,-0.012736088663126302,1.0,-1.0,-1.2234195402298844,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2234195402298844,0.0,0
1.6250121875914068,-2.0,1.0,-1.0,-0.393921832259261,-0.15286538905564534,1.0,-1.0,-1.2234195402298844,0.0,0
1.0,0.0,2.3043598488339945,0.0,22.514882470211877,-0.012736088663126302,1.0,-1.0,-1.2234195402298844,0.0,0
