class,radiotap.datarate,wlan.fc.protected,wlan.wep.key,wlan_mgt.fixed.auth_seq,wlan_mgt.fixed.timestamp
0,2.043483270347497,-1.0,0.0,0.0,0.0
0,1.0,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.048053
0,0.0,-1.0,0.0,0.0,0.1683
0,0.0,-1.0,0.0,0.0,0.048054
0,0.0,-1.0,0.0,0.0,0.1683
0,0.0,-1.0,0.0,0.0,0.012298
0,0.0,-1.0,0.0,0.0,5.260000000000001e-05
0,0.0,-1.0,0.0,0.0,0.1683
0,0.0,-1.0,0.0,0.0,0.048054
0,0.0,-1.0,0.0,0.0,0.048054
0,0.0,-1.0,0.0,0.0,0.053006
0,0.0,-1.0,0.0,0.0,0.1683
0,0.0,-1.0,0.0,0.0,0.048054
0,0.0,-1.0,0.0,0.0,0.053006
0,0.0,-1.0,0.0,0.0,0.048054
0,1.5217531569729927,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.053006
0,0.0,-1.0,0.0,0.0,5.31e-05
0,0.0,-1.0,0.0,0.0,0.048055
0,0.0,-1.0,0.0,0.0,5.34e-05
0,0.0,-1.0,0.0,0.0,0.053007000000000006
0,0.0,-1.0,0.0,0.0,0.048047
0,0.0,-1.0,0.0,0.0,0.048055
0,0.0,-1.0,0.0,0.0,0.19987
0,0.0,-1.0,0.0,0.0,5.3799999999999986e-05
0,0.0,-1.0,0.0,0.0,0.048047
0,0.0,-1.0,0.0,0.0,0.048047
0,0.0,-1.0,0.0,0.0,0.048047
0,0.0,-1.0,0.0,0.0,0.048055
0,0.0,-1.0,0.0,0.0,0.1683
0,0.0,-1.0,0.0,0.0,5.4299999999999985e-05
0,0.0,-1.0,0.0,0.0,0.048056
0,0.0,-1.0,0.0,0.0,5.460000000000001e-05
0,0.0,-1.0,0.0,0.0,0.053008000000000007
0,0.0,-1.0,0.0,0.0,0.048056
0,0.0,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.053008000000000007
0,0.0,-1.0,0.0,0.0,5.479999999999999e-05
0,2.3043598488339945,0.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.053008000000000007
0,0.0,-1.0,0.0,0.0,0.048048
0,2.3043598488339945,0.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,5.51e-05
0,0.0,-1.0,0.0,0.0,0.053008000000000007
0,0.0,-1.0,0.0,0.0,0.1683
0,0.0,-1.0,0.0,0.0,5.5399999999999985e-05
0,0.0,-1.0,0.0,0.0,5.570000000000001e-05
0,0.0,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.048049
0,0.0,-1.0,0.0,0.0,0.048049
0,0.0,-1.0,0.0,0.0,0.1683
0,0.0,-1.0,0.0,0.0,0.048057
0,0.0,-1.0,0.0,0.0,0.1683
0,0.0,-1.0,0.0,0.0,0.04805
0,0.0,-1.0,0.0,0.0,5.65e-05
0,0.0,-1.0,0.0,0.0,0.05301
0,1.5217531569729927,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,5.67e-05
0,0.0,-1.0,0.0,0.0,0.05301
0,0.0,-1.0,0.0,0.0,0.05301
0,0.0,-1.0,0.0,0.0,0.1683
0,0.0,-1.0,0.0,0.0,5.68e-05
0,0.0,-1.0,0.0,0.0,0.048058
0,0.0,-1.0,0.0,0.0,5.7e-05
0,0.0,-1.0,0.0,0.0,0.048051
0,0.043478661627799786,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.048051
0,0.0,-1.0,0.0,0.0,0.1683
0,0.0,-1.0,0.0,0.0,0.048059
0,0.4347866162779979,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.048051
0,0.0,-1.0,0.0,0.0,0.048059
0,0.0,-1.0,0.0,0.0,0.053011
0,0.0,-1.0,0.0,0.0,0.1683
0,0.0,-1.0,0.0,0.0,0.053011
0,0.0,-1.0,0.0,0.0,0.053011
0,0.0,-1.0,0.0,0.0,5.820000000000001e-05
0,0.0,-1.0,0.0,0.0,0.1683
0,2.3043598488339945,0.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.048060000000000005
0,0.0,-1.0,0.0,0.0,0.19987
0,1.5217531569729927,0.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,5.89e-05
0,0.0,-1.0,0.0,0.0,5.9e-05
0,0.4347866162779979,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.053012
0,0.0,-1.0,0.0,0.0,0.048053
0,0.0,-1.0,0.0,0.0,5.94e-05
0,0.0,-1.0,0.0,0.0,5.94e-05
0,0.0,-1.0,0.0,0.0,0.053013
0,0.0,-1.0,0.0,0.0,0.048053
0,0.0,-1.0,0.0,0.0,0.16831
0,0.0,-1.0,0.0,0.0,0.048053
0,0.0,-1.0,0.0,0.0,0.16831
0,0.0,-1.0,0.0,0.0,0.053013
0,1.5217531569729927,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.048053
0,1.5217531569729927,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.048061
0,0.0,-1.0,0.0,0.0,6e-05
0,0.0,-1.0,0.0,0.0,6e-05
0,0.0,-1.0,0.0,0.0,0.048053
0,0.0,-1.0,0.0,0.0,0.048061
0,0.0,-1.0,0.0,0.0,0.048061
0,0.0,-1.0,0.0,0.0,0.053013
0,1.0,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,6.04e-05
0,0.0,-1.0,0.0,0.0,6.05e-05
0,0.0,-1.0,0.0,0.0,6.05e-05
0,0.0,-1.0,0.0,0.0,0.048062
0,0.0,-1.0,0.0,0.0,6.06e-05
0,0.0,-1.0,0.0,0.0,0.048054
0,0.0,-1.0,0.0,0.0,0.053014
0,0.043478661627799786,0.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.053014
0,1.0,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.048062
0,2.3043598488339945,0.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.048062
0,0.0,-1.0,0.0,0.0,0.16831
0,2.3043598488339945,0.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,6.13e-05
0,0.0,-1.0,0.0,0.0,0.048063
0,2.3043598488339945,0.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.048055
0,1.0,-1.0,0.0,0.0,0.0
0,1.0,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.053016
0,0.21739330813899896,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,6.24e-05
0,0.0,-1.0,0.0,0.0,0.048064
0,0.4347866162779979,0.0,0.33333,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.048064
0,0.0,-1.0,0.0,0.0,6.25e-05
0,0.0,-1.0,0.0,0.0,0.053016
0,0.0,-1.0,0.0,0.0,6.26e-05
0,0.0,-1.0,0.0,0.0,0.053016
0,1.0,-1.0,0.0,0.0,0.0
0,0.0,-1.0,0.0,0.0,0.19988
0,0.0,-1.0,0.0,0.0,6.27e-05
